Animal	Type	Treatment	Assay	Pre	10m Post	1hr Post	4hr Post
Country Minister	Race	Control	Cysteine	801.819594860364	683.600194487197	249.326675930215	1624.74642079807
Down and Dirty	Race	Control	Cysteine	251.908917864112	1379.03955549343	339.696798770072	275.797344476562
Dr. Smooth	Race	Control	Cysteine	114.382572979316	295.564509754244	154.370432276657	827.038247765902
Greenwich Park	Race	Control	Cysteine	338.193446500626	488.40860153634	261.886237921409	54.4166229537849
Mind Game	Race	Control	Cysteine	200.636108752779	232.023417721519	83.5345636509207	134.823658351273
Park Princess	Race	Control	Cysteine	745.95480422105	6485.31447953736	2542.0381485849	717.037271670541
Senor Gato	Race	Control	Cysteine	742.509062087186	1100.33786853861	3071.94828087167	858.252044609665
Bullet	Sport	Control	Cysteine	848.958060606061	197.771087289433	553.242750877193	739.693733733734
Easy Lion	Sport	Control	Cysteine	163.566067172264	133.131440414508	195.862295081967	93.4289956331878
Fair Dinkum	Sport	Control	Cysteine	400.813321241435	1270.31868345618	458.875526433692	624.054060428353
Jamie	Sport	Control	Cysteine	119.155147615443	295.911822823589	182.395894556993	562.165779856428
Stella	Sport	Control	Cysteine	385.807900488927	1651.30863140896	1413.49293505562	740.709961279804
Stoney	Sport	Control	Cysteine	1986.14823529412	158.876749672346	235.162523900574	156.428348717949
Country Minister	Race	Control	Homo-Cysteine	35.1642467549495	30.6297439485099	14.1499536822603	61.4778597339782
Down and Dirty	Race	Control	Homo-Cysteine	18.5605144580451	81.2252362314789	26.5403655620089	18.3045833856981
Dr. Smooth	Race	Control	Homo-Cysteine	4.80577526771307	10.6885609323537	6.29616714697406	25.5314105484493
Greenwich Park	Race	Control	Homo-Cysteine	13.6508056212606	17.570468780776	7.33466394674683	2.33138916523469
Mind Game	Race	Control	Homo-Cysteine	6.04601980998585	4.04425364222594	2.87300507072325	3.19061289097125
Park Princess	Race	Control	Homo-Cysteine	49.2932484032213	302.276171411625	148.14545990566	42.6434531717037
Senor Gato	Race	Control	Homo-Cysteine	19.5096961690885	22.4250159540523	72.4922033898305	17.6539776951673
Bullet	Sport	Control	Homo-Cysteine	39.7949090909091	12.0541500765697	21.0382035087719	35.0143743743744
Easy Lion	Sport	Control	Homo-Cysteine	14.9240303358613	13.4213471502591	22.5488524590164	10.794096069869
Fair Dinkum	Sport	Control	Homo-Cysteine	14.3656287787183	47.7769758394758	22.0279905913978	26.2682751147374
Jamie	Sport	Control	Homo-Cysteine	6.51310154644749	16.3264768955833	10.8937588479375	23.2785316510768
Stella	Sport	Control	Homo-Cysteine	14.1081880931838	37.6343883730319	45.03617868676	24.5946729162421
Stoney	Sport	Control	Homo-Cysteine	54.1915618661258	9.26364351245085	14.5320841300191	7.20820512820513
Country Minister	Race	Control	GSH	7.20222367903501	8.98049111515321	5.46233132623128	8.58425634824667
Down and Dirty	Race	Control	GSH	5.89435692744368	15.8611266424378	9.74140758455757	4.54140882242051
Dr. Smooth	Race	Control	GSH	5.23257591315828	10.939189257664	7.16512968299712	16.4873366041703
Greenwich Park	Race	Control	GSH	10.3797940726311	15.4157080953319	12.7325767661585	3.42077417020892
Mind Game	Race	Control	GSH	13.1624439053972	21.1524193933604	7.5940512409928	7.7296834240851
Park Princess	Race	Control	GSH	6.81832129963899	26.3610839264531	19.955092865566	8.70068083693125
Senor Gato	Race	Control	GSH	20.9022985468956	18.1578557753669	49.6408716707022	23.2649318463445
Bullet	Sport	Control	GSH	20.7290505050505	9.90162327718224	7.65858245614035	11.5977577577578
Easy Lion	Sport	Control	GSH	6.33074756229686	7.33492227979275	9.43650273224044	4.3930480349345
Fair Dinkum	Sport	Control	GSH	8.54570737605804	17.963144963145	11.3006048387097	13.8720104538501
Jamie	Sport	Control	GSH	3.38555423380556	9.1214347715088	5.82326092262631	10.5190102240592
Stella	Sport	Control	GSH	10.8614639056658	33.8286637060961	23.0505059203445	14.2658589769717
